SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
f00e73041182368fb937cc6e6f93ace282ddfec3_WeMeme.sol;f0;ERC721Token;contract;187;80;76;11;12;1;1;14;39;4;7;1;0;7;13;1.0909090909090908;0.09090909090909091;0.09090909090909091;1.2727272727272727;3.5454545454545454;1.1818181818181819
f00e73041182368fb937cc6e6f93ace282ddfec3_WeMeme.sol;f0;SafeMath;library;59;29;21;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0
f00e73041182368fb937cc6e6f93ace282ddfec3_WeMeme.sol;f0;ERC721BasicToken;contract;299;145;127;17;19;2;2;36;52;2;3;2;0;5;29;1.1176470588235294;0.11764705882352941;0.11764705882352941;2.1176470588235294;3.0588235294117645;1.7058823529411764
f00e73041182368fb937cc6e6f93ace282ddfec3_WeMeme.sol;f0;ERC721Receiver;contract;30;11;18;1;1;0;0;4;0;0;0;0;0;1;0;1.0;0.0;0.0;4.0;0.0;0.0
f00e73041182368fb937cc6e6f93ace282ddfec3_WeMeme.sol;f0;ERC721Metadata;contract;5;5;0;3;3;0;0;1;0;2;2;3;0;0;0;1.0;0.0;0.0;0.3333333333333333;0.0;0.0
f00e73041182368fb937cc6e6f93ace282ddfec3_WeMeme.sol;f0;ERC721Basic;contract;78;40;28;10;10;0;0;20;0;1;1;6;0;4;0;1.0;0.0;0.0;2.0;0.0;0.0
f00e73041182368fb937cc6e6f93ace282ddfec3_WeMeme.sol;f0;SupportsInterfaceWithLookup;contract;44;22;17;2;2;0;0;2;4;1;1;3;0;2;1;1.0;0.0;0.0;1.0;2.0;0.5
f00e73041182368fb937cc6e6f93ace282ddfec3_WeMeme.sol;f0;AddressUtils;library;23;7;14;1;1;0;0;1;3;0;0;0;0;0;0;1.0;0.0;0.0;1.0;3.0;0.0
f00e73041182368fb937cc6e6f93ace282ddfec3_WeMeme.sol;f0;ERC165;interface;13;6;6;1;1;0;0;1;0;0;0;8;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
f00e73041182368fb937cc6e6f93ace282ddfec3_WeMeme.sol;f0;ERC721Enumerable;contract;12;11;0;3;3;0;0;3;0;2;2;3;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
f00e73041182368fb937cc6e6f93ace282ddfec3_WeMeme.sol;f0;ERC721;contract;2;2;0;0;0;0;0;0;0;3;4;2;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
f00e73041182368fb937cc6e6f93ace282ddfec3_WeMeme.sol;f0;WeMeme;contract;65;48;5;5;6;1;1;10;20;5;8;0;0;17;12;1.2;0.2;0.2;2.0;4.0;2.4
