SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
f0dfc51059b085f6ed0106f190e2d62300381259_Trav.sol;f0;Escrow;contract;37;20;8;3;3;0;0;3;8;1;1;2;0;1;2;1.0;0.0;0.0;1.0;2.6666666666666665;0.6666666666666666
f0dfc51059b085f6ed0106f190e2d62300381259_Trav.sol;f0;Secondary;contract;40;22;13;2;2;0;0;1;8;0;0;3;0;1;1;1.0;0.0;0.0;0.5;4.0;0.5
f0dfc51059b085f6ed0106f190e2d62300381259_Trav.sol;f0;MintedCrowdsale;contract;19;12;6;1;1;0;0;2;1;2;2;0;0;0;1;1.0;0.0;0.0;2.0;1.0;1.0
f0dfc51059b085f6ed0106f190e2d62300381259_Trav.sol;f0;ERC20Detailed;contract;32;19;9;3;3;0;0;0;6;1;1;1;0;3;0;1.0;0.0;0.0;0.0;2.0;0.0
f0dfc51059b085f6ed0106f190e2d62300381259_Trav.sol;f0;ERC20;contract;199;97;80;12;12;0;0;23;38;1;1;4;0;3;21;1.0;0.0;0.0;1.9166666666666667;3.1666666666666665;1.75
f0dfc51059b085f6ed0106f190e2d62300381259_Trav.sol;f0;FinalizableCrowdsale;contract;40;20;12;3;3;0;0;0;7;3;3;1;0;1;2;1.0;0.0;0.0;0.0;2.3333333333333335;0.6666666666666666
f0dfc51059b085f6ed0106f190e2d62300381259_Trav.sol;f0;ReentrancyGuard;contract;26;12;10;0;0;0;0;0;5;0;0;6;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0
f0dfc51059b085f6ed0106f190e2d62300381259_Trav.sol;f0;PauserRole;contract;39;30;0;5;5;0;0;4;10;0;0;2;1;1;5;1.0;0.0;0.0;0.8;2.0;1.0
f0dfc51059b085f6ed0106f190e2d62300381259_Trav.sol;f0;Crowdsale;contract;222;102;92;13;13;0;0;12;26;1;1;5;1;4;13;1.0;0.0;0.0;0.9230769230769231;2.0;1.0
f0dfc51059b085f6ed0106f190e2d62300381259_Trav.sol;f0;RefundableCrowdsale;contract;67;33;23;5;6;1;1;1;14;4;4;0;1;2;10;1.2;0.2;0.2;0.2;2.8;2.0
f0dfc51059b085f6ed0106f190e2d62300381259_Trav.sol;f0;ERC20Capped;contract;23;16;3;2;2;0;0;2;5;3;4;0;0;1;2;1.0;0.0;0.0;1.0;2.5;1.0
f0dfc51059b085f6ed0106f190e2d62300381259_Trav.sol;f0;Roles;library;38;23;10;3;3;0;0;6;8;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.6666666666666665;1.0
f0dfc51059b085f6ed0106f190e2d62300381259_Trav.sol;f0;SafeMath;library;59;29;21;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0
f0dfc51059b085f6ed0106f190e2d62300381259_Trav.sol;f0;TimedCrowdsale;contract;76;37;29;5;5;0;0;2;11;2;2;2;0;2;1;1.0;0.0;0.0;0.4;2.2;0.2
f0dfc51059b085f6ed0106f190e2d62300381259_Trav.sol;f0;Pausable;contract;49;27;15;3;3;0;0;0;10;1;1;1;0;1;0;1.0;0.0;0.0;0.0;3.3333333333333335;0.0
f0dfc51059b085f6ed0106f190e2d62300381259_Trav.sol;f0;SafeERC20;library;61;52;3;5;5;0;0;16;8;0;0;0;1;0;9;1.0;0.0;0.0;3.2;1.6;1.8
f0dfc51059b085f6ed0106f190e2d62300381259_Trav.sol;f0;CappedCrowdsale;contract;46;24;16;3;3;0;0;2;6;2;2;0;0;1;3;1.0;0.0;0.0;0.6666666666666666;2.0;1.0
f0dfc51059b085f6ed0106f190e2d62300381259_Trav.sol;f0;Trav;contract;11;5;4;0;0;0;0;0;0;3;7;0;0;6;0;0.0;0.0;0.0;0.0;0.0;0.0
f0dfc51059b085f6ed0106f190e2d62300381259_Trav.sol;f0;ConditionalEscrow;contract;13;7;5;2;2;0;0;2;2;2;2;1;0;0;2;1.0;0.0;0.0;1.0;1.0;1.0
f0dfc51059b085f6ed0106f190e2d62300381259_Trav.sol;f0;IERC20;interface;28;21;0;6;6;0;0;10;0;0;0;6;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
f0dfc51059b085f6ed0106f190e2d62300381259_Trav.sol;f0;ERC20Burnable;contract;19;8;9;2;2;0;0;3;2;2;2;0;0;0;2;1.0;0.0;0.0;1.5;1.0;1.0
f0dfc51059b085f6ed0106f190e2d62300381259_Trav.sol;f0;RefundEscrow;contract;76;39;27;7;7;0;0;2;16;3;3;0;0;2;6;1.0;0.0;0.0;0.2857142857142857;2.2857142857142856;0.8571428571428571
f0dfc51059b085f6ed0106f190e2d62300381259_Trav.sol;f0;ERC20Mintable;contract;19;13;6;1;1;0;0;2;2;2;3;2;0;0;1;1.0;0.0;0.0;2.0;2.0;1.0
f0dfc51059b085f6ed0106f190e2d62300381259_Trav.sol;f0;MinterRole;contract;39;30;0;5;5;0;0;4;10;0;0;3;1;1;5;1.0;0.0;0.0;0.8;2.0;1.0
