SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
f133f87980cfa1edc6594bb37409d9abccbba786_LCP_Token.sol;f1;SafeERC20;library;13;11;0;3;3;0;0;10;3;0;0;0;2;0;3;1.0;0.0;0.0;3.3333333333333335;1.0;1.0
f133f87980cfa1edc6594bb37409d9abccbba786_LCP_Token.sol;f1;TokenVesting;contract;114;64;28;4;6;2;1;4;29;1;1;0;1;8;16;1.5;0.5;0.25;1.0;7.25;4.0
f133f87980cfa1edc6594bb37409d9abccbba786_LCP_Token.sol;f1;BurnableToken;contract;20;11;6;1;1;0;0;1;6;3;4;1;0;0;3;1.0;0.0;0.0;1.0;6.0;3.0
f133f87980cfa1edc6594bb37409d9abccbba786_LCP_Token.sol;f1;LCP_Token;contract;164;107;24;15;18;3;3;30;46;4;6;0;2;15;31;1.2;0.2;0.2;2.0;3.066666666666667;2.066666666666667
f133f87980cfa1edc6594bb37409d9abccbba786_LCP_Token.sol;f1;ERC20Basic;contract;6;6;0;3;3;0;0;3;0;0;0;5;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
f133f87980cfa1edc6594bb37409d9abccbba786_LCP_Token.sol;f1;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;3;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
f133f87980cfa1edc6594bb37409d9abccbba786_LCP_Token.sol;f1;Owned;contract;12;10;0;0;0;0;0;0;3;0;0;2;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0
f133f87980cfa1edc6594bb37409d9abccbba786_LCP_Token.sol;f1;SafeMath;library;41;23;14;4;5;1;1;8;12;0;0;0;0;0;3;1.25;0.25;0.25;2.0;3.0;0.75
f133f87980cfa1edc6594bb37409d9abccbba786_LCP_Token.sol;f1;StandardToken;contract;71;36;28;5;6;1;1;11;21;2;3;2;0;1;6;1.2;0.2;0.2;2.2;4.2;1.2
f133f87980cfa1edc6594bb37409d9abccbba786_LCP_Token.sol;f1;BasicToken;contract;39;19;14;3;3;0;0;3;8;1;1;3;0;2;3;1.0;0.0;0.0;1.0;2.6666666666666665;1.0
f133f87980cfa1edc6594bb37409d9abccbba786_LCP_Token.sol;f1;TokenVault;contract;21;12;5;1;1;0;0;0;4;0;0;0;1;1;3;1.0;0.0;0.0;0.0;4.0;3.0
