SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
f1b22772ff3c0629f998b504e0f8816f50cfbc93_TokenSale.sol;f1;Pausable;contract;49;27;15;3;3;0;0;0;10;1;1;2;0;1;0;1.0;0.0;0.0;0.0;3.3333333333333335;0.0
f1b22772ff3c0629f998b504e0f8816f50cfbc93_TokenSale.sol;f1;ReentrancyGuard;contract;24;12;10;0;0;0;0;0;5;0;0;6;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0
f1b22772ff3c0629f998b504e0f8816f50cfbc93_TokenSale.sol;f1;SafeERC20;library;29;21;3;5;5;0;0;16;8;0;0;0;1;0;9;1.0;0.0;0.0;3.2;1.6;1.8
f1b22772ff3c0629f998b504e0f8816f50cfbc93_TokenSale.sol;f1;Roles;library;34;19;10;3;3;0;0;6;8;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.6666666666666665;1.0
f1b22772ff3c0629f998b504e0f8816f50cfbc93_TokenSale.sol;f1;WhitelistProxyInterface;contract;3;3;0;1;1;0;0;0;0;0;0;0;1;0;0;1.0;0.0;0.0;0.0;0.0;0.0
f1b22772ff3c0629f998b504e0f8816f50cfbc93_TokenSale.sol;f1;CappedCrowdsale;contract;39;18;16;3;3;0;0;2;6;2;2;1;0;1;3;1.0;0.0;0.0;0.6666666666666666;2.0;1.0
f1b22772ff3c0629f998b504e0f8816f50cfbc93_TokenSale.sol;f1;LoanEscrow;contract;75;56;3;4;6;2;2;5;61;2;2;1;2;8;22;1.5;0.5;0.5;1.25;15.25;5.5
f1b22772ff3c0629f998b504e0f8816f50cfbc93_TokenSale.sol;f1;TimedCrowdsale;contract;68;30;29;5;5;0;0;2;11;2;2;3;0;2;1;1.0;0.0;0.0;0.4;2.2;0.2
f1b22772ff3c0629f998b504e0f8816f50cfbc93_TokenSale.sol;f1;WhitelistInterface;contract;4;4;0;2;2;0;0;4;0;0;0;0;0;0;0;1.0;0.0;0.0;2.0;0.0;0.0
f1b22772ff3c0629f998b504e0f8816f50cfbc93_TokenSale.sol;f1;SafeMath;library;59;29;21;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0
f1b22772ff3c0629f998b504e0f8816f50cfbc93_TokenSale.sol;f1;LandRegistryProxyInterface;contract;3;3;0;1;1;0;0;0;0;0;0;0;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0
f1b22772ff3c0629f998b504e0f8816f50cfbc93_TokenSale.sol;f1;TokenSale;contract;30;27;2;0;0;0;0;0;0;4;9;0;7;15;0;0.0;0.0;0.0;0.0;0.0;0.0
f1b22772ff3c0629f998b504e0f8816f50cfbc93_TokenSale.sol;f1;FinalizableCrowdsale;contract;41;20;13;3;3;0;0;0;7;3;3;1;0;1;2;1.0;0.0;0.0;0.0;2.3333333333333335;0.6666666666666666
f1b22772ff3c0629f998b504e0f8816f50cfbc93_TokenSale.sol;f1;Crowdsale;contract;45;16;22;0;0;0;0;0;0;1;1;5;1;14;0;0.0;0.0;0.0;0.0;0.0;0.0
f1b22772ff3c0629f998b504e0f8816f50cfbc93_TokenSale.sol;f1;IERC20;interface;17;10;0;6;6;0;0;10;0;0;0;0;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
f1b22772ff3c0629f998b504e0f8816f50cfbc93_TokenSale.sol;f1;PauserRole;contract;39;30;0;5;5;0;0;4;10;0;0;3;1;1;5;1.0;0.0;0.0;0.8;2.0;1.0
f1b22772ff3c0629f998b504e0f8816f50cfbc93_TokenSale.sol;f1;MoneyMarketInterface;contract;5;5;0;3;3;0;0;6;0;0;0;0;0;0;0;1.0;0.0;0.0;2.0;0.0;0.0
f1b22772ff3c0629f998b504e0f8816f50cfbc93_TokenSale.sol;f1;PostDeliveryCrowdsale;contract;34;17;12;3;3;0;0;4;7;3;3;1;0;1;3;1.0;0.0;0.0;1.3333333333333333;2.3333333333333335;1.0
