SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
f278c1ca969095ffddded020290cf8b5c424ace2_RuffToken.sol;f2;Ownable;contract;26;16;0;2;2;0;0;1;6;0;0;6;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
f278c1ca969095ffddded020290cf8b5c424ace2_RuffToken.sol;f2;ParameterizedToken;contract;14;10;0;1;1;0;0;4;3;5;7;1;0;3;0;1.0;0.0;0.0;4.0;3.0;0.0
f278c1ca969095ffddded020290cf8b5c424ace2_RuffToken.sol;f2;ERC20Basic;contract;7;6;0;2;2;0;0;3;0;0;0;7;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
f278c1ca969095ffddded020290cf8b5c424ace2_RuffToken.sol;f2;SafeMath;library;28;23;2;4;5;1;1;8;12;0;0;0;0;0;3;1.25;0.25;0.25;2.0;3.0;0.75
f278c1ca969095ffddded020290cf8b5c424ace2_RuffToken.sol;f2;MintableToken;contract;41;33;0;4;4;0;0;4;15;3;5;3;0;2;6;1.0;0.0;0.0;1.0;3.75;1.5
f278c1ca969095ffddded020290cf8b5c424ace2_RuffToken.sol;f2;StandardToken;contract;49;37;0;5;6;1;1;11;21;2;4;4;0;1;10;1.2;0.2;0.2;2.2;4.2;2.0
f278c1ca969095ffddded020290cf8b5c424ace2_RuffToken.sol;f2;CappedToken;contract;17;11;0;2;2;0;0;3;4;4;6;2;0;1;3;1.0;0.0;0.0;1.5;2.0;1.5
f278c1ca969095ffddded020290cf8b5c424ace2_RuffToken.sol;f2;BasicToken;contract;34;23;1;3;3;0;0;3;10;1;2;5;0;2;4;1.0;0.0;0.0;1.0;3.3333333333333335;1.3333333333333333
f278c1ca969095ffddded020290cf8b5c424ace2_RuffToken.sol;f2;RuffToken;contract;4;3;0;1;1;0;0;0;0;6;8;0;0;3;0;1.0;0.0;0.0;0.0;0.0;0.0
f278c1ca969095ffddded020290cf8b5c424ace2_RuffToken.sol;f2;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;5;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
