SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
f4a9e856f3d159b7168c2a55fabbc9fe5c569f96_ExtendedAdvertisement.sol;f4;Whitelist;contract;26;15;9;1;1;0;0;1;9;2;3;3;0;5;0;1.0;0.0;0.0;1.0;9.0;0.0
f4a9e856f3d159b7168c2a55fabbc9fe5c569f96_ExtendedAdvertisement.sol;f4;AppCoins;contract;152;75;74;10;11;1;1;14;43;1;1;0;0;7;7;1.1;0.1;0.1;1.4;4.3;0.7
f4a9e856f3d159b7168c2a55fabbc9fe5c569f96_ExtendedAdvertisement.sol;f4;ExtendedFinance;contract;53;32;4;4;4;0;0;8;10;4;4;0;0;1;9;1.0;0.0;0.0;2.0;2.5;2.25
f4a9e856f3d159b7168c2a55fabbc9fe5c569f96_ExtendedAdvertisement.sol;f4;RBAC;contract;92;36;46;4;4;0;0;8;8;0;0;4;1;1;4;1.0;0.0;0.0;2.0;2.0;1.0
f4a9e856f3d159b7168c2a55fabbc9fe5c569f96_ExtendedAdvertisement.sol;f4;BaseFinance;contract;58;40;7;2;2;0;0;2;4;3;3;1;2;11;1;1.0;0.0;0.0;1.0;2.0;0.5
f4a9e856f3d159b7168c2a55fabbc9fe5c569f96_ExtendedAdvertisement.sol;f4;Ownable;contract;26;15;7;0;0;0;0;0;6;1;1;8;0;2;0;0.0;0.0;0.0;0.0;0.0;0.0
f4a9e856f3d159b7168c2a55fabbc9fe5c569f96_ExtendedAdvertisement.sol;f4;ExtendedAdvertisementStorage;contract;100;82;4;2;2;0;0;9;2;4;5;0;2;15;8;1.0;0.0;0.0;4.5;1.0;4.0
f4a9e856f3d159b7168c2a55fabbc9fe5c569f96_ExtendedAdvertisement.sol;f4;BaseAdvertisement;contract;47;29;4;1;1;0;0;1;4;2;3;1;3;14;0;1.0;0.0;0.0;1.0;4.0;0.0
f4a9e856f3d159b7168c2a55fabbc9fe5c569f96_ExtendedAdvertisement.sol;f4;StorageUser;interface;3;3;0;1;1;0;0;0;0;0;0;2;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0
f4a9e856f3d159b7168c2a55fabbc9fe5c569f96_ExtendedAdvertisement.sol;f4;CampaignLibrary;library;158;108;30;15;18;3;2;22;25;0;0;0;0;0;1;1.2;0.2;0.13333333333333333;1.4666666666666666;1.6666666666666667;0.06666666666666667
f4a9e856f3d159b7168c2a55fabbc9fe5c569f96_ExtendedAdvertisement.sol;f4;Roles;library;46;28;14;4;4;0;0;8;4;0;0;0;0;0;1;1.0;0.0;0.0;2.0;1.0;0.25
f4a9e856f3d159b7168c2a55fabbc9fe5c569f96_ExtendedAdvertisement.sol;f4;SafeMath;library;45;22;18;4;5;1;1;8;11;0;0;0;0;0;3;1.25;0.25;0.25;2.0;2.75;0.75
f4a9e856f3d159b7168c2a55fabbc9fe5c569f96_ExtendedAdvertisement.sol;f4;ExtendedCampaignLibrary;library;39;26;8;4;4;0;0;6;4;0;0;0;0;0;0;1.0;0.0;0.0;1.5;1.0;0.0
f4a9e856f3d159b7168c2a55fabbc9fe5c569f96_ExtendedAdvertisement.sol;f4;ErrorThrower;interface;3;3;0;0;0;0;0;0;0;0;0;9;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
f4a9e856f3d159b7168c2a55fabbc9fe5c569f96_ExtendedAdvertisement.sol;f4;ERC20Interface;contract;8;8;0;5;5;0;0;6;0;0;0;1;0;0;0;1.0;0.0;0.0;1.2;0.0;0.0
f4a9e856f3d159b7168c2a55fabbc9fe5c569f96_ExtendedAdvertisement.sol;f4;SingleAllowance;contract;17;13;0;1;1;0;0;1;4;2;2;2;0;3;0;1.0;0.0;0.0;1.0;4.0;0.0
f4a9e856f3d159b7168c2a55fabbc9fe5c569f96_ExtendedAdvertisement.sol;f4;ExtendedAdvertisement;contract;115;94;6;2;3;1;1;12;15;3;6;0;1;11;5;1.5;0.5;0.5;6.0;7.5;2.5
f4a9e856f3d159b7168c2a55fabbc9fe5c569f96_ExtendedAdvertisement.sol;f4;BaseAdvertisementStorage;contract;107;84;4;2;2;0;0;8;8;3;4;1;1;16;0;1.0;0.0;0.0;4.0;4.0;0.0
