SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
fa45a09e17056d352bfe7f75d5d2c9debeddaee5_RealToken.sol;fa;SafeMath;library;59;29;21;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0
fa45a09e17056d352bfe7f75d5d2c9debeddaee5_RealToken.sol;fa;BaseLottery;contract;76;62;3;0;0;0;0;0;8;2;2;1;1;25;0;0.0;0.0;0.0;0.0;0.0;0.0
fa45a09e17056d352bfe7f75d5d2c9debeddaee5_RealToken.sol;fa;SimpleToken;contract;66;29;27;5;5;0;0;8;13;1;1;1;0;2;7;1.0;0.0;0.0;1.6;2.6;1.4
fa45a09e17056d352bfe7f75d5d2c9debeddaee5_RealToken.sol;fa;iRNG;contract;4;4;0;2;2;0;0;5;0;0;0;0;0;0;0;1.0;0.0;0.0;2.5;0.0;0.0
fa45a09e17056d352bfe7f75d5d2c9debeddaee5_RealToken.sol;fa;iKYCWhitelist;contract;3;3;0;1;1;0;0;1;0;0;0;0;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
fa45a09e17056d352bfe7f75d5d2c9debeddaee5_RealToken.sol;fa;FiatContract;contract;3;3;0;1;1;0;0;1;0;0;0;0;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
fa45a09e17056d352bfe7f75d5d2c9debeddaee5_RealToken.sol;fa;SuperJackPot;contract;20;16;0;0;0;0;0;0;4;3;3;0;2;11;0;0.0;0.0;0.0;0.0;0.0;0.0
fa45a09e17056d352bfe7f75d5d2c9debeddaee5_RealToken.sol;fa;Manageable;contract;27;23;0;3;5;2;2;3;14;1;1;2;0;1;1;1.6666666666666667;0.6666666666666666;0.6666666666666666;1.0;4.666666666666667;0.3333333333333333
fa45a09e17056d352bfe7f75d5d2c9debeddaee5_RealToken.sol;fa;Ownable;contract;65;30;27;5;5;0;0;2;12;0;0;5;0;1;3;1.0;0.0;0.0;0.4;2.4;0.6
fa45a09e17056d352bfe7f75d5d2c9debeddaee5_RealToken.sol;fa;RealToken;contract;45;34;0;4;4;0;0;3;13;2;2;0;2;10;8;1.0;0.0;0.0;0.75;3.25;2.0
fa45a09e17056d352bfe7f75d5d2c9debeddaee5_RealToken.sol;fa;IChecker;contract;3;3;0;1;1;0;0;0;0;0;0;0;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0
