SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
fcc9774d0498b2ab2e53988bcb7c5860dcd3ceb4_PlaceholderController.sol;fc;Controlled;contract;15;8;4;2;2;0;0;1;4;0;0;3;0;1;0;1.0;0.0;0.0;0.5;2.0;0.0
fcc9774d0498b2ab2e53988bcb7c5860dcd3ceb4_PlaceholderController.sol;fc;TokenController;contract;23;6;15;3;3;0;0;7;0;0;0;1;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
fcc9774d0498b2ab2e53988bcb7c5860dcd3ceb4_PlaceholderController.sol;fc;SafeMath;library;25;20;2;4;4;0;0;8;10;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.5;0.75
fcc9774d0498b2ab2e53988bcb7c5860dcd3ceb4_PlaceholderController.sol;fc;MiniMeVestedToken;contract;282;162;87;16;21;3;3;43;63;2;2;1;0;3;28;1.3125;0.1875;0.1875;2.6875;3.9375;1.75
fcc9774d0498b2ab2e53988bcb7c5860dcd3ceb4_PlaceholderController.sol;fc;Ownable;contract;34;16;11;2;2;0;0;1;6;0;0;1;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
fcc9774d0498b2ab2e53988bcb7c5860dcd3ceb4_PlaceholderController.sol;fc;ApproveAndCallFallBack;contract;3;3;0;1;1;0;0;4;0;0;0;0;0;0;0;1.0;0.0;0.0;4.0;0.0;0.0
fcc9774d0498b2ab2e53988bcb7c5860dcd3ceb4_PlaceholderController.sol;fc;MiniMeTokenFactory;contract;34;22;10;1;1;0;0;6;3;0;0;0;1;0;2;1.0;0.0;0.0;6.0;3.0;2.0
fcc9774d0498b2ab2e53988bcb7c5860dcd3ceb4_PlaceholderController.sol;fc;Math;library;17;14;0;4;4;0;0;8;4;0;0;0;0;0;0;1.0;0.0;0.0;2.0;1.0;0.0
fcc9774d0498b2ab2e53988bcb7c5860dcd3ceb4_PlaceholderController.sol;fc;PlaceholderController;contract;25;19;1;5;5;0;0;9;6;1;2;0;1;1;3;1.0;0.0;0.0;1.8;1.2;0.6
fcc9774d0498b2ab2e53988bcb7c5860dcd3ceb4_PlaceholderController.sol;fc;MiniMeToken;contract;483;234;186;21;40;14;14;44;112;1;1;2;2;13;46;1.9047619047619047;0.6666666666666666;0.6666666666666666;2.0952380952380953;5.333333333333333;2.1904761904761907
fcc9774d0498b2ab2e53988bcb7c5860dcd3ceb4_PlaceholderController.sol;fc;BLT;contract;10;10;7;1;1;0;0;1;0;3;3;0;0;4;0;1.0;0.0;0.0;1.0;0.0;0.0
