SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
fd0df7b58bd53d1dd4835ecd69a703b4b26f7816_MziToken.sol;fd;StandardToken;contract;73;36;28;5;6;1;1;11;21;2;3;2;0;1;10;1.2;0.2;0.2;2.2;4.2;2.0
fd0df7b58bd53d1dd4835ecd69a703b4b26f7816_MziToken.sol;fd;Ownable;contract;36;16;11;2;2;0;0;1;6;0;0;2;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
fd0df7b58bd53d1dd4835ecd69a703b4b26f7816_MziToken.sol;fd;MziToken;contract;5;5;0;0;0;0;0;0;0;4;6;0;1;5;0;0.0;0.0;0.0;0.0;0.0;0.0
fd0df7b58bd53d1dd4835ecd69a703b4b26f7816_MziToken.sol;fd;Crowdsale;contract;93;48;22;7;7;0;0;5;24;0;0;1;1;6;11;1.0;0.0;0.0;0.7142857142857143;3.4285714285714284;1.5714285714285714
fd0df7b58bd53d1dd4835ecd69a703b4b26f7816_MziToken.sol;fd;BasicToken;contract;31;15;11;2;2;0;0;3;7;1;1;3;0;1;4;1.0;0.0;0.0;1.5;3.5;2.0
fd0df7b58bd53d1dd4835ecd69a703b4b26f7816_MziToken.sol;fd;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;5;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
fd0df7b58bd53d1dd4835ecd69a703b4b26f7816_MziToken.sol;fd;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;3;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
fd0df7b58bd53d1dd4835ecd69a703b4b26f7816_MziToken.sol;fd;MintableToken;contract;36;21;10;2;2;0;0;2;10;3;5;1;0;1;5;1.0;0.0;0.0;1.0;5.0;2.5
fd0df7b58bd53d1dd4835ecd69a703b4b26f7816_MziToken.sol;fd;SafeMath;library;28;23;2;4;5;1;1;8;12;0;0;0;0;0;3;1.25;0.25;0.25;2.0;3.0;0.75
fd0df7b58bd53d1dd4835ecd69a703b4b26f7816_MziToken.sol;fd;Moozicore;contract;125;98;1;6;24;12;5;7;52;1;1;0;2;14;15;4.0;2.0;0.8333333333333334;1.1666666666666667;8.666666666666666;2.5
