SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
fd1db05574d71c5a536dffa9787b0a74ef4a349e_MonsterCore.sol;fd;MonsterOwnership;contract;261;138;87;15;19;4;4;25;52;2;3;4;1;42;17;1.2666666666666666;0.26666666666666666;0.26666666666666666;1.6666666666666667;3.466666666666667;1.1333333333333333
fd1db05574d71c5a536dffa9787b0a74ef4a349e_MonsterCore.sol;fd;SiringClockAuction;contract;62;37;19;3;3;0;0;8;11;3;4;0;0;1;7;1.0;0.0;0.0;2.6666666666666665;3.6666666666666665;2.3333333333333335
fd1db05574d71c5a536dffa9787b0a74ef4a349e_MonsterCore.sol;fd;MonsterAccessControl;contract;110;53;39;5;5;0;0;3;20;0;0;6;0;4;3;1.0;0.0;0.0;0.6;4.0;0.6
fd1db05574d71c5a536dffa9787b0a74ef4a349e_MonsterCore.sol;fd;ClockAuctionBase;contract;236;103;99;11;14;3;3;20;36;0;0;3;1;3;18;1.2727272727272727;0.2727272727272727;0.2727272727272727;1.8181818181818181;3.272727272727273;1.6363636363636365
fd1db05574d71c5a536dffa9787b0a74ef4a349e_MonsterCore.sol;fd;GeneScience;contract;650;609;27;13;522;7;6;14;1064;0;0;0;0;1;19;40.15384615384615;0.5384615384615384;0.46153846153846156;1.0769230769230769;81.84615384615384;1.4615384615384615
fd1db05574d71c5a536dffa9787b0a74ef4a349e_MonsterCore.sol;fd;ERC721;contract;22;11;8;7;7;0;0;10;0;0;0;5;0;0;0;1.0;0.0;0.0;1.4285714285714286;0.0;0.0
fd1db05574d71c5a536dffa9787b0a74ef4a349e_MonsterCore.sol;fd;MonsterCore;contract;141;61;65;6;7;1;1;2;28;6;7;0;0;1;7;1.1666666666666667;0.16666666666666666;0.16666666666666666;0.3333333333333333;4.666666666666667;1.1666666666666667
fd1db05574d71c5a536dffa9787b0a74ef4a349e_MonsterCore.sol;fd;SaleClockAuction;contract;75;49;17;4;6;2;2;8;17;3;4;0;0;3;7;1.5;0.5;0.5;2.0;4.25;1.75
fd1db05574d71c5a536dffa9787b0a74ef4a349e_MonsterCore.sol;fd;MonsterBreeding;contract;331;159;121;15;23;3;3;24;73;3;4;3;1;2;22;1.5333333333333334;0.2;0.2;1.6;4.866666666666666;1.4666666666666666
fd1db05574d71c5a536dffa9787b0a74ef4a349e_MonsterCore.sol;fd;ERC721Metadata;contract;19;18;1;1;4;3;1;2;39;0;0;0;0;0;0;4.0;3.0;1.0;2.0;39.0;0.0
fd1db05574d71c5a536dffa9787b0a74ef4a349e_MonsterCore.sol;fd;MonsterAuction;contract;125;72;40;6;6;0;0;12;23;4;5;2;2;0;17;1.0;0.0;0.0;2.0;3.8333333333333335;2.8333333333333335
fd1db05574d71c5a536dffa9787b0a74ef4a349e_MonsterCore.sol;fd;Pausable;contract;41;23;12;2;2;0;0;0;10;1;1;3;0;1;2;1.0;0.0;0.0;0.0;5.0;1.0
fd1db05574d71c5a536dffa9787b0a74ef4a349e_MonsterCore.sol;fd;MonsterBase;contract;220;93;95;3;5;2;2;9;21;1;1;5;3;10;9;1.6666666666666667;0.6666666666666666;0.6666666666666666;3.0;7.0;3.0
fd1db05574d71c5a536dffa9787b0a74ef4a349e_MonsterCore.sol;fd;MonsterMinting;contract;69;42;12;3;6;3;3;3;20;5;6;1;0;6;10;2.0;1.0;1.0;1.0;6.666666666666667;3.3333333333333335
fd1db05574d71c5a536dffa9787b0a74ef4a349e_MonsterCore.sol;fd;ClockAuction;contract;151;98;40;8;8;0;0;12;31;2;3;2;1;1;18;1.0;0.0;0.0;1.5;3.875;2.25
fd1db05574d71c5a536dffa9787b0a74ef4a349e_MonsterCore.sol;fd;Ownable;contract;33;15;11;2;3;1;1;1;5;0;0;4;0;1;1;1.5;0.5;0.5;0.5;2.5;0.5
