SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
fde1bee9aa13a275bfa0db158092eb36a83e66ed_TokenizedProperty.sol;fd;IERC20;interface;17;10;0;6;6;0;0;10;0;0;0;4;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
fde1bee9aa13a275bfa0db158092eb36a83e66ed_TokenizedProperty.sol;fd;PauserRole;contract;39;30;0;5;5;0;0;4;10;0;0;4;1;1;5;1.0;0.0;0.0;0.8;2.0;1.0
fde1bee9aa13a275bfa0db158092eb36a83e66ed_TokenizedProperty.sol;fd;WhitelistProxyInterface;contract;3;3;0;1;1;0;0;0;0;0;0;0;1;0;0;1.0;0.0;0.0;0.0;0.0;0.0
fde1bee9aa13a275bfa0db158092eb36a83e66ed_TokenizedProperty.sol;fd;SafeMath;library;59;29;21;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0
fde1bee9aa13a275bfa0db158092eb36a83e66ed_TokenizedProperty.sol;fd;ERC20Detailed;contract;32;19;9;3;3;0;0;0;6;1;1;1;0;3;0;1.0;0.0;0.0;0.0;2.0;0.0
fde1bee9aa13a275bfa0db158092eb36a83e66ed_TokenizedProperty.sol;fd;LandRegistryInterface;contract;3;3;0;1;1;0;0;1;0;0;0;0;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
fde1bee9aa13a275bfa0db158092eb36a83e66ed_TokenizedProperty.sol;fd;LandRegistryProxyInterface;contract;4;4;0;2;2;0;0;0;0;0;0;0;1;0;0;1.0;0.0;0.0;0.0;0.0;0.0
fde1bee9aa13a275bfa0db158092eb36a83e66ed_TokenizedProperty.sol;fd;SafeERC20;library;29;21;3;5;5;0;0;16;8;0;0;0;1;0;9;1.0;0.0;0.0;3.2;1.6;1.8
fde1bee9aa13a275bfa0db158092eb36a83e66ed_TokenizedProperty.sol;fd;MoneyMarketInterface;contract;5;5;0;3;3;0;0;6;0;0;0;0;0;0;0;1.0;0.0;0.0;2.0;0.0;0.0
fde1bee9aa13a275bfa0db158092eb36a83e66ed_TokenizedProperty.sol;fd;LoanEscrow;contract;75;56;3;4;6;2;2;5;61;2;2;2;2;8;22;1.5;0.5;0.5;1.25;15.25;5.5
fde1bee9aa13a275bfa0db158092eb36a83e66ed_TokenizedProperty.sol;fd;DividendDistributingToken;contract;47;33;2;4;4;0;0;1;16;3;5;1;0;4;14;1.0;0.0;0.0;0.25;4.0;3.5
fde1bee9aa13a275bfa0db158092eb36a83e66ed_TokenizedProperty.sol;fd;WhitelistInterface;contract;3;3;0;1;1;0;0;2;0;0;0;0;0;0;0;1.0;0.0;0.0;2.0;0.0;0.0
fde1bee9aa13a275bfa0db158092eb36a83e66ed_TokenizedProperty.sol;fd;Ownable;contract;65;30;27;5;5;0;0;2;12;0;0;1;0;1;3;1.0;0.0;0.0;0.4;2.4;0.6
fde1bee9aa13a275bfa0db158092eb36a83e66ed_TokenizedProperty.sol;fd;Pausable;contract;49;27;15;3;3;0;0;0;10;1;1;3;0;1;0;1.0;0.0;0.0;0.0;3.3333333333333335;0.0
fde1bee9aa13a275bfa0db158092eb36a83e66ed_TokenizedProperty.sol;fd;TokenizedProperty;contract;76;58;7;8;8;0;0;13;38;4;8;0;3;7;9;1.0;0.0;0.0;1.625;4.75;1.125
fde1bee9aa13a275bfa0db158092eb36a83e66ed_TokenizedProperty.sol;fd;ERC20;contract;173;64;89;13;13;0;0;26;32;1;1;2;0;3;18;1.0;0.0;0.0;2.0;2.4615384615384617;1.3846153846153846
fde1bee9aa13a275bfa0db158092eb36a83e66ed_TokenizedProperty.sol;fd;Roles;library;34;19;10;3;3;0;0;6;8;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.6666666666666665;1.0
