SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI;FS;LS;
79a64dbe0a25390fa40a2eb819b934ccc7a06f45_ALLDigitalToken.sol;79;Safe;library;27;22;0;4;4;0;0;8;12;0;0;0;0;0;4;1.0;0.0;0.0;2.0;3.0;1.0;2019-02-26T05:04:06.000Z;2019-02-26T05:04:06.000Z;
4a79fdf28eb7cb7bc82413d4f9a0f75be37ff072_Locker2.sol;4a;Locker2;contract;164;89;36;12;15;3;3;8;52;1;1;0;1;4;11;1.25;0.25;0.25;0.6666666666666666;4.333333333333333;0.9166666666666666;2019-02-26T08:44:15.000Z;2019-02-26T08:44:15.000Z;
b09d8eb41730d3cb536add7e332756738d99631c_Xmalltoken.sol;b0;Xmalltoken;contract;222;185;5;21;29;7;7;35;89;1;2;0;1;13;51;1.380952380952381;0.3333333333333333;0.3333333333333333;1.6666666666666667;4.238095238095238;2.4285714285714284;2019-02-26T08:14:28.000Z;2019-02-26T08:14:28.000Z;
ACc84D441940D0B5f5c53DF360dDC4AB437fB4B2_TurboPayToken.sol;ac;StandardToken;contract;48;41;0;5;7;2;2;10;20;1;2;1;0;3;6;1.4;0.4;0.4;2.0;4.0;1.2;2019-02-26T07:44:30.000Z;2019-02-26T07:44:30.000Z;
3121f5c0cd4a0d354e07062dc44d599c2cd94c40_DS_AAPL.sol;31;ERC20Basic;contract;6;6;0;3;3;0;0;3;0;0;0;6;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0;2018-12-30T06:15:12.000Z;2018-12-30T06:15:12.000Z;
f9d4daae1300cff251979722c4a3c45857973079_CastleToken.sol;f9;CastleToken;contract;149;69;82;8;9;1;1;19;35;0;0;0;1;6;14;1.125;0.125;0.125;2.375;4.375;1.75;2019-02-26T07:24:24.000Z;2019-02-26T07:24:24.000Z;
6051988f38808c695546ccb55f1c6930848a8a23_TriipInvestorsServices.sol;60;TriipInvestorsServices;contract;75;35;22;0;0;0;0;0;7;0;0;0;0;17;0;0.0;0.0;0.0;0.0;0.0;0.0;2019-02-26T04:48:06.000Z;2019-02-26T04:48:06.000Z;
8ff9aa1f807c01b8a9282c3599f2c8198334197a_ArbCoin.sol;8f;ArbCoin;contract;149;69;82;8;9;1;1;19;35;0;0;0;1;6;14;1.125;0.125;0.125;2.375;4.375;1.75;2019-02-26T06:51:46.000Z;2019-02-26T06:51:46.000Z;
aee7474c3713ece228aa5ec43c89c708f2ec7ed2_SlotToken.sol;ae;SafeMath;library;59;29;21;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0;2019-02-04T10:22:27.000Z;2019-02-04T10:22:27.000Z;
40db801fbd06ee3dbf57899eb4b7afb3bdef86d7_ITCO.sol;40;ERC20;contract;10;10;0;6;6;0;0;10;0;0;0;1;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0;2019-02-26T06:09:58.000Z;2019-02-26T06:09:58.000Z;
2d19ba653682b41756aa2c67343f26d6edd36836_BLITZ_QUIZ.sol;2d;BLITZ_QUIZ;contract;46;36;0;6;10;4;4;7;15;0;0;0;0;4;6;1.6666666666666667;0.6666666666666666;0.6666666666666666;1.1666666666666667;2.5;1.0;2019-02-26T05:39:52.000Z;2019-02-26T05:39:52.000Z;
57b9B0CAF9f724401e731877C9D6e40DD6B6B9FA_TokenERC20.sol;57;TokenERC20;contract;154;72;83;7;8;1;1;16;37;0;0;0;1;6;10;1.1428571428571428;0.14285714285714285;0.14285714285714285;2.2857142857142856;5.285714285714286;1.4285714285714286;2019-02-26T05:40:58.000Z;2019-02-26T05:40:58.000Z;
adb6cbaf416ce1b6fab5d344afb8e1c848364376_LibertyEcoToken.sol;ad;SafeMath;library;39;29;0;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0;2019-02-26T04:26:50.000Z;2019-02-26T04:26:50.000Z;
faf4d70b588468e75eccfe9a6fd8cec5ea7393db_FuteToken.sol;fa;tokenRecipient;interface;1;1;0;1;1;0;0;4;0;0;0;0;0;0;0;1.0;0.0;0.0;4.0;0.0;0.0;2019-02-26T04:29:42.000Z;2019-02-26T04:29:42.000Z;
3c50be9bf65f1411e975bd593c3967492e476e5d_AirToken.sol;3c;Ownable;contract;12;10;0;0;0;0;0;0;3;0;0;1;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0;2018-11-07T13:05:54.000Z;2018-11-07T13:05:54.000Z;
479BB92e9FD3cB724aE0C6BC59178D5B2a19B499_TokenERC20.sol;47;TokenERC20;contract;154;72;83;7;8;1;1;16;37;0;0;0;1;6;10;1.1428571428571428;0.14285714285714285;0.14285714285714285;2.2857142857142856;5.285714285714286;1.4285714285714286;2019-02-26T03:27:37.000Z;2019-02-26T03:27:37.000Z;
9ae1d9371486501ae5d6bd4c7f200a9837ffd2af_frozenForever.sol;9a;frozenForever;contract;4;4;0;0;0;0;0;0;0;0;0;0;0;7;0;0.0;0.0;0.0;0.0;0.0;0.0;2019-02-20T11:40:44.000Z;2019-02-20T11:40:44.000Z;
e1E0DB951844E7fb727574D7dACa68d1C5D1525b_deflatCoin.sol;e1;ERC20Interface;contract;11;10;0;6;6;0;0;10;0;0;0;1;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0;2019-02-19T02:11:49.000Z;2019-02-19T02:11:49.000Z;
01ad3c7da8364d3f73d8ba6deb88c2add26a7837_Zion.sol;01;Escrow;contract;37;20;8;3;3;0;0;3;8;1;1;2;0;1;2;1.0;0.0;0.0;1.0;2.6666666666666665;0.6666666666666666;2019-02-25T05:51:57.000Z;2019-02-25T05:51:57.000Z;
e36584509f808f865be1960aa459ab428fa7a25b_deflatMarket.sol;e3;token;interface;4;4;0;2;2;0;0;3;0;0;0;0;0;0;0;1.0;0.0;0.0;1.5;0.0;0.0;2019-02-23T02:46:46.000Z;2019-02-23T02:46:46.000Z;
6b90e3a02d19df61cf7b6cf8a73d9fa9a6b23da6_TokenERC20.sol;6b;TokenERC20;contract;154;72;83;7;8;1;1;16;37;0;0;0;1;6;10;1.1428571428571428;0.14285714285714285;0.14285714285714285;2.2857142857142856;5.285714285714286;1.4285714285714286;2019-02-26T02:27:19.000Z;2019-02-26T02:27:19.000Z;
2fec0d2d336ffa88207b11760ed5220ee351af49_InvestLTCS.sol;2f;InvestLTCS;contract;151;113;3;15;19;4;3;15;57;2;2;0;1;11;23;1.2666666666666666;0.26666666666666666;0.2;1.0;3.8;1.5333333333333334;2019-02-26T01:37:10.000Z;2019-02-26T01:37:10.000Z;
740380ebe159999a8614bdecde6942a0fb9d7eed_IOUCosmosToken.sol;74;ApproveAndCallFallBack;contract;3;3;0;1;1;0;0;4;0;0;0;0;0;0;0;1.0;0.0;0.0;4.0;0.0;0.0;2019-02-26T01:01:52.000Z;2019-02-26T01:01:52.000Z;
55656b8a58df94c1e8b5142f8da973301452ea65_CivilPLCRVoting.sol;55;DLL;library;82;60;2;8;10;2;2;15;27;0;0;0;0;1;13;1.25;0.25;0.25;1.875;3.375;1.625;2019-01-17T18:11:33.000Z;2019-01-17T18:11:33.000Z;
0b8170f7cec8564492ffea951be88b915a4e26d2_CivilParameterizer.sol;0b;IERC20;interface;17;10;0;6;6;0;0;10;0;0;0;0;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0;2019-01-24T21:31:34.000Z;2019-01-24T21:31:34.000Z;
c08C43cF32dE8B1ECeAE774668EeF0BCedB25d20_LympoToken.sol;c0;SafeMath;library;59;29;21;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0;2019-02-25T21:52:54.000Z;2019-02-25T21:52:54.000Z;
4302e25f5aded98f8923e1aed7e995621283d6be_TrustCenterToken.sol;43;TrustCenterToken;contract;124;56;46;9;9;0;0;15;30;1;2;0;0;6;11;1.0;0.0;0.0;1.6666666666666667;3.3333333333333335;1.2222222222222223;2019-02-25T21:50:40.000Z;2019-02-25T21:50:40.000Z;
